path|transcript|duration
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_30125598.mp3|A French villager took the equipment and hid them|5.328
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_36791614.mp3|Within a year of these exploits Underhill suffered from the Puritan drive for conformity|6.336
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_27261532.mp3|Clinical exam may reveal sectoral paresis of the iris sphincter or vermiform iris movements|8.748
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_23766385.mp3|I should have killed him|2.52
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_20183310.mp3|The choice of developing method often depends on the present situation|5.112
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_25520818.mp3|Larry Sabato is one scholar who advanced that view|4.068
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_33050445.mp3|The monogram of the artist is on the lower right|4.32
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_27421430.mp3|The story centres around two alien agents Cadet Flynn and PseudoCadet Niven|8.1
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_30558464.mp3|It is painful not doing anything for that situation and just watching over it|6.156
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_28789205.mp3|It was launched by artists who had seceded from its rival Puck|5.328
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_31865182.mp3|Obolensky was raised in Texas and New Orleans|4.5
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_22165971.mp3|Gumare is served by Gumare Airport|4.392
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_19930769.mp3|There he made a living as a house painter and stoker|3.912
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_22020901.mp3|There were not many citystates that refused|5.424
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_25303658.mp3|The final shaping was done closer to the papakainga to be nearer to food|5.472
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_23818227.mp3|There were a variety of engines offered over the years|4.296
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_26639426.mp3|There is also live entertainment along the street|4.284
/home/ashankwi/commonVoiceData/en/trainFiles/common_voice_en_34915748.mp3|Young Samuel was educated in New England then read law in Carolina|6.912
